Ticker,Mean,Sigma,Upper,Lower,LastPrice,BuyZone,SellZone,UnderControl,Slope_5d,Trend_Robust,Actionability
PRU,107.81700134277344,1.01142503465399,108.82842637742743,106.80557630811944,108.25,False,False,True,-0.1470008850097786,FLAT,Neutral
PSX,170.88199768066406,3.791403588559494,174.67340126922355,167.09059409210457,171.64999389648438,False,False,True,0.7899978637695184,FLAT,Neutral
PTC,114.69300079345703,1.9060022647898367,116.59900305824686,112.7869985286672,115.72000122070312,False,False,True,0.16600036621092615,FLAT,Neutral
PVH,77.08600006103515,4.080618410919748,81.1666184719549,73.0053816501154,74.37999725341797,False,False,True,-0.8580009460449376,FLAT,Neutral
RCL,311.5490020751953,8.610319334226206,320.1593214094215,302.93868274096906,318.1300048828125,False,False,True,3.0660034179686932,UP,Neutral
RL,408.4421356201172,3.771910778155373,412.21404639827256,404.67022484196184,411.1600036621094,False,False,True,0.5576354980468474,FLAT,Neutral
RTX,185.9980010986328,2.9524490988728216,188.95045019750563,183.04555199976,187.99000549316406,False,False,True,1.2520004272460803,UP,Neutral
SBAC,190.21299896240234,7.029188266428884,197.24218722883123,183.18381069597345,183.75999450683594,False,False,True,-1.6300003051757963,FLAT,Neutral
SCHW,91.86299896240234,1.5263686575522855,93.38936761995463,90.33663030485006,90.66999816894531,False,False,True,-0.6449996948242264,DOWN,Neutral
SEDG,55.41500015258789,3.86318515540611,59.278185307994,51.551814997181786,51.75,False,False,True,-1.207999801635749,DOWN,Neutral
SJM,112.96699981689453,3.0475411539855677,116.01454097088009,109.91945866290897,115.63999938964844,False,False,True,1.8929992675781173,UP,Neutral
SLB,49.81500015258789,3.3504766564799118,53.165476809067805,46.46452349610798,47.0,False,False,True,-0.2270004272460987,FLAT,Neutral
SNPS,457.3269989013672,5.282950065356267,462.60994896672344,452.0440488360109,454.3399963378906,False,False,True,-2.6959991455078787,DOWN,Neutral
SPGI,411.8370056152344,11.717514112541094,423.55451972777547,400.1194915026933,408.1600036621094,False,False,True,-0.348001098632842,FLAT,Neutral
STT,169.96299896240234,2.3808599796678833,172.34385894207023,167.58213898273445,168.11000061035156,False,False,True,-1.5420013427734465,DOWN,Neutral
STZ,143.9550003051758,3.0510515317479303,147.00605183692372,140.90394877342786,146.3000030517578,False,False,True,1.06500091552734,UP,Neutral
T,22.690000152587892,0.5203203119528618,23.210320464540754,22.16967984063503,22.719999313354492,False,False,True,0.08499984741210681,FLAT,Neutral
TDG,1305.30302734375,24.5997727205114,1329.9028000642616,1280.7032546232385,1324.56005859375,False,False,True,9.220007324218725,UP,Neutral
